序号,传输方向,时间标识,帧ID,帧格式,帧类型,数据长度,数据(HEX)
0,接收,17:26:40.857.0,0x00000123,数据帧,标准帧,0x08,00 01 01 02 05 09 00 00 
1,接收,17:26:40.911.0,0x00000123,数据帧,标准帧,0x08,00 02 01 02 05 09 00 00 
2,接收,17:26:41.008.0,0x00000123,数据帧,标准帧,0x08,00 03 01 02 05 09 00 00 
3,接收,17:26:41.132.0,0x00000123,数据帧,标准帧,0x08,00 04 01 02 05 09 00 00 
4,接收,17:26:41.147.0,0x00000123,数据帧,标准帧,0x08,00 05 01 02 05 09 00 00 
5,接收,17:26:41.147.0,0x00000123,数据帧,标准帧,0x08,00 06 01 02 05 09 00 00 
6,接收,17:26:41.288.0,0x00000123,数据帧,标准帧,0x08,00 07 01 02 05 09 00 00 
7,接收,17:26:41.288.0,0x00000123,数据帧,标准帧,0x08,00 08 01 02 05 09 00 00 
8,接收,17:26:41.426.0,0x00000123,数据帧,标准帧,0x08,00 09 01 02 05 09 00 00 
9,接收,17:26:41.448.0,0x00000123,数据帧,标准帧,0x08,00 10 01 02 05 09 00 00 
10,接收,17:26:41.560.0,0x00000123,数据帧,标准帧,0x08,00 11 01 02 05 09 00 00 
11,接收,17:26:41.560.0,0x00000123,数据帧,标准帧,0x08,00 12 01 02 05 09 00 00 
12,接收,17:26:41.576.0,0x00000123,数据帧,标准帧,0x08,00 13 01 02 05 09 00 00 
13,接收,17:26:41.712.0,0x00000123,数据帧,标准帧,0x08,00 14 01 02 05 09 00 00 
14,接收,17:26:41.944.0,0x00000123,数据帧,标准帧,0x08,00 15 01 02 05 09 00 00 
15,接收,17:26:41.944.0,0x00000123,数据帧,标准帧,0x08,00 16 01 02 05 09 00 00 
16,接收,17:26:41.944.0,0x00000123,数据帧,标准帧,0x08,00 17 01 02 05 09 00 00 
17,接收,17:26:41.944.0,0x00000123,数据帧,标准帧,0x08,00 18 01 02 05 09 00 00 
18,接收,17:26:41.944.0,0x00000123,数据帧,标准帧,0x08,00 19 01 02 05 09 00 00 
19,接收,17:26:42.004.0,0x00000123,数据帧,标准帧,0x08,00 20 01 02 05 09 00 00 
20,接收,17:26:42.152.0,0x00000123,数据帧,标准帧,0x08,00 21 01 02 05 09 00 00 
21,接收,17:26:42.400.0,0x00000123,数据帧,标准帧,0x08,00 22 01 02 05 09 00 00 
22,接收,17:26:42.400.0,0x00000123,数据帧,标准帧,0x08,00 23 01 02 05 09 00 00 
23,接收,17:26:42.400.0,0x00000123,数据帧,标准帧,0x08,00 24 01 02 05 09 00 00 
24,接收,17:26:42.400.0,0x00000123,数据帧,标准帧,0x08,00 25 01 02 05 09 00 00 
25,接收,17:26:42.430.0,0x00000123,数据帧,标准帧,0x08,00 26 01 02 05 09 00 00 
26,接收,17:26:42.430.0,0x00000123,数据帧,标准帧,0x08,00 27 01 02 05 09 00 00 
27,接收,17:26:42.593.0,0x00000123,数据帧,标准帧,0x08,00 28 01 02 05 09 00 00 
28,接收,17:26:42.826.0,0x00000123,数据帧,标准帧,0x08,00 29 01 02 05 09 00 00 
29,接收,17:26:42.826.0,0x00000123,数据帧,标准帧,0x08,00 30 01 02 05 09 00 00 
30,接收,17:26:42.826.0,0x00000123,数据帧,标准帧,0x08,00 31 01 02 05 09 00 00 
31,接收,17:26:42.826.0,0x00000123,数据帧,标准帧,0x08,00 32 01 02 05 09 00 00 
32,接收,17:26:42.860.0,0x00000123,数据帧,标准帧,0x08,00 33 01 02 05 09 00 00 
33,接收,17:26:42.860.0,0x00000123,数据帧,标准帧,0x08,00 34 01 02 05 09 00 00 
34,接收,17:26:43.007.0,0x00000123,数据帧,标准帧,0x08,00 35 01 02 05 09 00 00 
35,接收,17:26:43.007.0,0x00000123,数据帧,标准帧,0x08,00 36 01 02 05 09 00 00 
36,接收,17:26:43.044.0,0x00000123,数据帧,标准帧,0x08,00 37 01 02 05 09 00 00 
37,接收,17:26:43.139.0,0x00000123,数据帧,标准帧,0x08,00 38 01 02 05 09 00 00 
38,接收,17:26:43.285.0,0x00000123,数据帧,标准帧,0x08,00 39 01 02 05 09 00 00 
39,接收,17:26:43.285.0,0x00000123,数据帧,标准帧,0x08,00 40 01 02 05 09 00 00 
40,接收,17:26:43.285.0,0x00000123,数据帧,标准帧,0x08,00 41 01 02 05 09 00 00 
41,接收,17:26:43.439.0,0x00000123,数据帧,标准帧,0x08,00 42 01 02 05 09 00 00 
42,接收,17:26:43.439.0,0x00000123,数据帧,标准帧,0x08,00 43 01 02 05 09 00 00 
43,接收,17:26:43.538.0,0x00000123,数据帧,标准帧,0x08,00 44 01 02 05 09 00 00 
44,接收,17:26:43.538.0,0x00000123,数据帧,标准帧,0x08,00 45 01 02 05 09 00 00 
45,接收,17:26:43.653.0,0x00000123,数据帧,标准帧,0x08,00 46 01 02 05 09 00 00 
46,接收,17:26:43.653.0,0x00000123,数据帧,标准帧,0x08,00 47 01 02 05 09 00 00 
47,接收,17:26:43.804.0,0x00000123,数据帧,标准帧,0x08,00 48 01 02 05 09 00 00 
48,接收,17:26:43.804.0,0x00000123,数据帧,标准帧,0x08,00 49 01 02 05 09 00 00 
49,接收,17:26:43.950.0,0x00000123,数据帧,标准帧,0x08,00 50 01 02 05 09 00 00 
50,接收,17:26:43.950.0,0x00000123,数据帧,标准帧,0x08,00 51 01 02 05 09 00 00 
51,接收,17:26:43.950.0,0x00000123,数据帧,标准帧,0x08,00 52 01 02 05 09 00 00 
52,接收,17:26:44.077.0,0x00000123,数据帧,标准帧,0x08,00 53 01 02 05 09 00 00 
53,接收,17:26:44.077.0,0x00000123,数据帧,标准帧,0x08,00 54 01 02 05 09 00 00 
54,接收,17:26:44.139.0,0x00000123,数据帧,标准帧,0x08,00 55 01 02 05 09 00 00 
55,接收,17:26:44.209.0,0x00000123,数据帧,标准帧,0x08,00 56 01 02 05 09 00 00 
56,接收,17:26:44.355.0,0x00000123,数据帧,标准帧,0x08,00 57 01 02 05 09 00 00 
57,接收,17:26:44.355.0,0x00000123,数据帧,标准帧,0x08,00 58 01 02 05 09 00 00 
58,接收,17:26:44.526.0,0x00000123,数据帧,标准帧,0x08,00 59 01 02 05 09 00 00 
59,接收,17:26:44.526.0,0x00000123,数据帧,标准帧,0x08,00 60 01 02 05 09 00 00 
60,接收,17:26:44.526.0,0x00000123,数据帧,标准帧,0x08,00 61 01 02 05 09 00 00 
61,接收,17:26:44.680.0,0x00000123,数据帧,标准帧,0x08,00 62 01 02 05 09 00 00 
62,接收,17:26:44.680.0,0x00000123,数据帧,标准帧,0x08,00 63 01 02 05 09 00 00 
63,接收,17:26:44.680.0,0x00000123,数据帧,标准帧,0x08,00 64 01 02 05 09 00 00 
64,接收,17:26:44.758.0,0x00000123,数据帧,标准帧,0x08,00 65 01 02 05 09 00 00 
65,接收,17:26:44.903.0,0x00000123,数据帧,标准帧,0x08,00 66 01 02 05 09 00 00 
66,接收,17:26:44.903.0,0x00000123,数据帧,标准帧,0x08,00 67 01 02 05 09 00 00 
67,接收,17:26:44.903.0,0x00000123,数据帧,标准帧,0x08,00 68 01 02 05 09 00 00 
68,接收,17:26:45.033.0,0x00000123,数据帧,标准帧,0x08,00 69 01 02 05 09 00 00 
69,接收,17:26:45.033.0,0x00000123,数据帧,标准帧,0x08,00 70 01 02 05 09 00 00 
70,接收,17:26:45.175.0,0x00000123,数据帧,标准帧,0x08,00 71 01 02 05 09 00 00 
71,接收,17:26:45.315.0,0x00000123,数据帧,标准帧,0x08,00 72 01 02 05 09 00 00 
72,接收,17:26:45.315.0,0x00000123,数据帧,标准帧,0x08,00 73 01 02 05 09 00 00 
73,接收,17:26:45.315.0,0x00000123,数据帧,标准帧,0x08,00 74 01 02 05 09 00 00 
74,接收,17:26:45.406.0,0x00000123,数据帧,标准帧,0x08,00 75 01 02 05 09 00 00 
75,接收,17:26:45.436.0,0x00000123,数据帧,标准帧,0x08,00 76 01 02 05 09 00 00 
76,接收,17:26:45.562.0,0x00000123,数据帧,标准帧,0x08,00 77 01 02 05 09 00 00 
77,接收,17:26:45.562.0,0x00000123,数据帧,标准帧,0x08,00 78 01 02 05 09 00 00 
78,接收,17:26:45.713.0,0x00000123,数据帧,标准帧,0x08,00 79 01 02 05 09 00 00 
79,接收,17:26:45.713.0,0x00000123,数据帧,标准帧,0x08,00 80 01 02 05 09 00 00 
80,接收,17:26:45.854.0,0x00000123,数据帧,标准帧,0x08,00 81 01 02 05 09 00 00 
81,接收,17:26:45.854.0,0x00000123,数据帧,标准帧,0x08,00 82 01 02 05 09 00 00 
82,接收,17:26:45.854.0,0x00000123,数据帧,标准帧,0x08,00 83 01 02 05 09 00 00 
83,接收,17:26:46.013.0,0x00000123,数据帧,标准帧,0x08,00 84 01 02 05 09 00 00 
84,接收,17:26:46.013.0,0x00000123,数据帧,标准帧,0x08,00 85 01 02 05 09 00 00 
85,接收,17:26:46.169.0,0x00000123,数据帧,标准帧,0x08,00 86 01 02 05 09 00 00 
86,接收,17:26:46.169.0,0x00000123,数据帧,标准帧,0x08,00 87 01 02 05 09 00 00 
87,接收,17:26:46.169.0,0x00000123,数据帧,标准帧,0x08,00 88 01 02 05 09 00 00 
88,接收,17:26:46.268.0,0x00000123,数据帧,标准帧,0x08,00 89 01 02 05 09 00 00 
89,接收,17:26:46.406.0,0x00000123,数据帧,标准帧,0x08,00 90 01 02 05 09 00 00 
90,接收,17:26:46.406.0,0x00000123,数据帧,标准帧,0x08,00 91 01 02 05 09 00 00 
91,接收,17:26:46.406.0,0x00000123,数据帧,标准帧,0x08,00 92 01 02 05 09 00 00 
92,接收,17:26:46.466.0,0x00000123,数据帧,标准帧,0x08,00 93 01 02 05 09 00 00 
93,接收,17:26:46.560.0,0x00000123,数据帧,标准帧,0x08,00 94 01 02 05 09 00 00 
94,接收,17:26:46.714.0,0x00000123,数据帧,标准帧,0x08,00 95 01 02 05 09 00 00 
95,接收,17:26:46.714.0,0x00000123,数据帧,标准帧,0x08,00 96 01 02 05 09 00 00 
96,接收,17:26:46.714.0,0x00000123,数据帧,标准帧,0x08,00 97 01 02 05 09 00 00 
97,接收,17:26:46.813.0,0x00000123,数据帧,标准帧,0x08,00 98 01 02 05 09 00 00 
98,接收,17:26:46.935.0,0x00000123,数据帧,标准帧,0x08,00 99 01 02 05 09 00 00 
99,接收,17:26:46.935.0,0x00000123,数据帧,标准帧,0x08,01 00 01 02 05 09 00 00 
100,接收,17:26:47.076.0,0x00000123,数据帧,标准帧,0x08,01 01 01 02 05 09 00 00 
101,接收,17:26:47.076.0,0x00000123,数据帧,标准帧,0x08,01 02 01 02 05 09 00 00 
102,接收,17:26:47.076.0,0x00000123,数据帧,标准帧,0x08,01 03 01 02 05 09 00 00 
103,接收,17:26:47.203.0,0x00000123,数据帧,标准帧,0x08,01 04 01 02 05 09 00 00 
104,接收,17:26:47.203.0,0x00000123,数据帧,标准帧,0x08,01 05 01 02 05 09 00 00 
105,接收,17:26:47.355.0,0x00000123,数据帧,标准帧,0x08,01 06 01 02 05 09 00 00 
106,接收,17:26:47.355.0,0x00000123,数据帧,标准帧,0x08,01 07 01 02 05 09 00 00 
107,接收,17:26:47.478.0,0x00000123,数据帧,标准帧,0x08,01 08 01 02 05 09 00 00 
108,接收,17:26:47.478.0,0x00000123,数据帧,标准帧,0x08,01 09 01 02 05 09 00 00 
109,接收,17:26:47.602.0,0x00000123,数据帧,标准帧,0x08,01 10 01 02 05 09 00 00 
110,接收,17:26:47.602.0,0x00000123,数据帧,标准帧,0x08,01 11 01 02 05 09 00 00 
111,接收,17:26:47.647.0,0x00000123,数据帧,标准帧,0x08,01 12 01 02 05 09 00 00 
112,接收,17:26:47.760.0,0x00000123,数据帧,标准帧,0x08,01 13 01 02 05 09 00 00 
113,接收,17:26:47.903.0,0x00000123,数据帧,标准帧,0x08,01 14 01 02 05 09 00 00 
114,接收,17:26:47.903.0,0x00000123,数据帧,标准帧,0x08,01 15 01 02 05 09 00 00 
115,接收,17:26:47.903.0,0x00000123,数据帧,标准帧,0x08,01 16 01 02 05 09 00 00 
116,接收,17:26:48.034.0,0x00000123,数据帧,标准帧,0x08,01 17 01 02 05 09 00 00 
